Banglish,Bangla,Second
a,অ
aa,আ
i,ই
ii,ঈ
u,উ
oo,ঊ
ri,ঋ
e,এ
ei,ঐ
o,ও
ow,ঔ
k,ক
kh,খ
g,গ
gh,ঘ
anga,ঙ
ch,চ
chh,ছ
j,জ
jh,ঝ
eyan,ঞ
t,ট
th,ঠ
d,ড
dh,ঢ
n,ণ
t,ত
th,থ
d,দ
dh,ধ
n,ন
p,প
ph,ফ
b,ব
bh,ভ
m,ম
j,য
r,র
l,ল
sh,শ
shh,ষ
s,স
h,হ
rh,ড়
dh,ঢ়
y,য়
ng,ং
ka,কা
ki,কি
kee,কী
ku,কু
koo,কূ
kri,কৃ
ke,কে
koi,কৈ
ko,কো
kou,কৌ
kha,খা
khi,খি
khee,খী
khu,খু
khoo,খূ
khri,খৃ
khe,খে
khoi,খৈ
kho,খো
khou,খৌ
ga,গা
gi,গি
gee,গী
gu,গু
goo,গূ
gri,গৃ
ge,গে
goi,গৈ
go,গো
gou,গৌ
gha,ঘা
ghi,ঘি
ghee,ঘী
ghu,ঘু
ghoo,ঘূ
ghri,ঘৃ
ghe,ঘে
ghoi,ঘৈ
gho,ঘো
ghou,ঘৌ
ng,ঙ
ca,চা
ci,চি
cee,চী
cu,চু
coo,চূ
cri,চৃ
ce,চে
coi,চৈ
co,চো
cou,চৌ
cang,চং
cha,ছা
chi,ছি
chee,ছী
chu,ছু
choo,ছূ
chri,ছৃ
che,ছে
choi,ছৈ
cho,ছো
chou,ছৌ
chang,ছং
ja,জা
ji,জি
jee,জী
ju,জু
joo,জূ
jri,জৃ
je,জে
joi,জৈ
jo,জো
jou,জৌ
jang,জং
jha,ঝা
jhi,ঝি
jhee,ঝী
jhu,ঝু
jhoo,ঝূ
jhri,ঝৃ
jhe,ঝে
jhoi,ঝৈ
jho,ঝো
jhou,ঝৌ
jhang,ঝং
nng,ঞ
ta,টা,তা
ti,টি,তি
tee,টী,তী
tu,টু,তু
too,টূ,তূ
tri,টৃ,তৃ
te,টে,তে
toi,টৈ,তৈ
to,টো,তো
tou,টৌ,তৌ
tong,টং,তং
tha,ঠা,থা
thi,ঠি,থি
thee,ঠী,থী
thu,ঠু,থু
thoo,ঠূ,থূ
thri,ঠৃ,থৃ
the,ঠে,থে
thoi,ঠৈ,থৈ
tho,ঠো,থো
thou,ঠৌ,থৌ
thong,ঠং,থং
da,ডা,দা
di,ডি,দি
dee,ডী,দী
du,ডু,দু
doo,ডূ,দূ
dri,ডৃ,দৃ
de,ডে,দে
doi,ডৈ,দৈ
do,ডো,দো
dou,ডৌ,দৌ
dong,ডং,দং
dha,ঢা,ধা
dhi,ঢি,ধি
dhee,ঢী,ধী
dhu,ঢু,ধু
dhoo,ঢূ,ধূ
dhri,ঢৃ,ধৃ
dhe,ঢে,ধে
dhoi,ঢৈ,ধৈ
dho,ঢো,ধো
dhou,ঢৌ,ধৌ
dhong,ঢং,ধং
na,না,ণা
ni,নি,ণি
nee,নী,ণী
nu,নু,ণু
noo,নূ,ণূ
nri,নৃ,ণৃ
ne,নে,ণে
noi,নৈ,ণৈ
no,নো,ণো
nou,নৌ,ণৌ
nong,নং,ণং
pa,পা
pi,পি
pee,পী
pu,পু
poo,পূ
pri,পৃ
pe,পে
pai,পৈ
po,পো
pou,পৌ
pang,পং
fa,ফা
fi,ফি
fee,ফী
fu,ফু
foo,ফূ
fri,ফৃ
fe,ফে
fai,ফৈ
fo,ফো
fou,ফৌ
fang,ফং
ba,বা
bi,বি
bee,বী
bu,বু
boo,বূ
bri,বৃ
be,বে
boi,বৈ
bo,বো
bou,বৌ
bong,বং
bha,ভা
bhi,ভি
bhee,ভী
bhu,ভু
bhoo,ভূ
bhri,ভৃ
bhe,ভে
bhoi,ভৈ
bho,ভো
bhou,ভৌ
bhang,ভং
ma,মা
mi,মি
mee,মী
mu,মু
moo,মূ
mri,মৃ
me,মে
moi,মৈ
mo,মো
mou,মৌ
mang,মং
ya,যা
yi,
yee,
yu,
yoo,
yri,
ye,
yai,
yo,
you,
yang,
ra,রা
ri,রি
ree,রী
ru,রু
roo,রূ
rri,রৃ
re,রে
roi,রৈ
ro,রো
rou,রৌ
rong,রং
la,লা
li,লি
lee,লী
lu,লু
loo,লূ
lri,লৃ
le,রে
loi,রৈ
lo,লো
lou,লৌ
long,লং
va,ভা
vi,ভি
vee,ভী
vu,ভু
voo,ভূ
vri,ভৃ
ve,ভে
vai,ভৈ
vo,ভো
vou,ভৌ
vong,ভং
sa,সা
si,সি
see,সী
su,সু
soo,সূ
sri,সৃ
se,সে
soi,সৈ
so,সো
sou,সৌ
song,সং
sha,শা
shi,শি
shee,শী
shu,শু
shoo,শূ
shri,শৃ
she,শে
shoi,শৈ
sho,শো
shou,শৌ
shang,শং
sha,শা
shhi,ষি
shhee,ষী
shhu,ষু
shhoo,ষূ
shhri,ষৃ
shhe,ষে
shhoi,ষৈ
shho,ষো
shhou,ষৌ
shhang,ষং
ha,হা
hi,হি
hee,হী
hu,হু
hoo,হূ
hri,হৃ
he,হে
hoi,হৈ
ho,হো
hou,হৌ
hong,হং
kkha,ক্খা
kkhi,ক্খি
kkhee,ক্খী
kkhu,ক্খু
kkhoo,ক্খূ
kkhri,ক্খৃ
kkhe,ক্খে
kkhoi,ক্খৈ
kkho,ক্খো
kkhou,ক্খৌ
kkhong,ক্খং
tra,ত্রা
tri,ত্রই
tree,ত্রী
tru,ত্রু
troo,ত্রূ
trri,ত্রৃ
tre,ত্রে
troi,ত্রৈ
tro,ত্রো
trou,ত্রৌ
trong,ত্রং
gga,জ্ঞা
ggi,জ্ঞি
ggee,জ্ঞী
ggu,জ্ঞু
ggoo,জ্ঞূ
ggri,জ্ঞৃ
gge,জ্ঞে
ggoi,জ্ঞৈ
ggo,জ্ঞো
ggou,জ্ঞৌ
ggong,জ্ঞং
shra,শ্রা
shri,শ্রি
shree,শ্রী
shru,শ্রু
shroo,শ্রূ
shrri,শ্রৃ
shre,শ্রে
shrai,শ্রৈ
shro,শ্রো
shrou,শ্রৌ
shrang,শ্রং